u,v,pkts,avg_queue_ms,avg_tx_ms,avg_prop_ms,max_queue_ms,tx_utilization
10,14,2385,0.6449278637813212,0.031980153738644344,2.067216356937362,29.224162722996994,0.0012712111111111125
9,21,1892,0.27154110258581216,0.03203388301620859,5.463238591735508,20.28995881872042,0.0010101351111111109
4,34,1884,0.3336448420150647,0.03203824486907291,2.7909561433049785,35.58062528119876,0.0010060008888888893
9,14,1874,0.2785817052817239,0.031919316969050156,6.455268596491732,19.41773542387004,0.0009969466666666666
4,35,1712,0.3627751018970348,0.03213799065420562,2.6422450179247927,28.213348028558016,0.0009170040000000005
0,34,1704,0.25161520171351004,0.031900704225352114,2.0947754821803124,25.824342905842457,0.0009059800000000001
12,33,1588,0.25711508158145996,0.03206648194794292,3.6469208911347386,19.087679535493507,0.0008486928888888892
14,25,1530,0.2037543550099444,0.032064366013071874,3.0665295622190656,20.28685104716743,0.0008176413333333326
9,17,1375,0.30646837168536695,0.031932470303030244,2.2122924597650715,19.61012577464416,0.0007317857777777764
0,12,1303,0.21164028805528623,0.032025991302123316,7.40299312840183,19.039335422114334,0.0006954977777777779
10,20,1067,0.20131660377958013,0.03212958450484225,4.780299459105824,16.357694789242316,0.0005713711111111113
15,20,909,0.18165743106408866,0.03220212687935465,4.703595123268124,26.943348437242776,0.0004878622222222229
14,35,889,0.11162570888559291,0.03207811023622049,8.977372419993248,20.427858700102774,0.00047529066666666687
34,37,867,0.16471447962392477,0.03200633602460589,5.249944972080297,25.36497315140096,0.0004624915555555551
3,14,847,0.07547785075605025,0.03212212514757974,11.962952337340791,10.868218556289833,0.00045345733333333396
25,30,824,0.36310045475873737,0.032129870550161845,4.369084684549563,33.731448138182074,0.0004412502222222227
31,33,826,0.1207975951786652,0.03193530266343828,5.4643429094299725,23.67677029999271,0.000439642666666667
6,15,801,0.012850342039506744,0.03206009155222637,10.391708455855175,3.833464615911275,0.00042800222222222193
10,32,779,0.1484303239016638,0.03195193838254175,6.816787482148205,18.70849005317865,0.000414842666666667
9,27,761,0.019672460304218084,0.032055260621988636,14.456578175873052,13.203763325670081,0.00040656755555555586
23,25,758,0.042979119983589914,0.032144942832014085,7.407561466623196,14.979505226619949,0.0004060977777777779
21,26,755,0.2030851794719725,0.03191095805739516,3.740673690771393,19.626348972231256,0.00040154622222222247
0,11,749,0.17630890647408876,0.032107983978638205,6.053729419830751,15.326668518873987,0.00040081466666666685
21,24,722,0.09421759007165437,0.03202740535549396,9.244969365871771,15.817884202441235,0.00038539644444444396
22,35,716,0.13239487945875533,0.032104618249534436,5.870072672405775,16.64666003643056,0.00038311511111111093
2,14,661,0.1175437736038447,0.032124054462934946,6.587652577774218,19.35355887702883,0.0003539
9,39,661,0.17547441917825335,0.032081613716591025,5.610921031765867,19.438526096330122,0.00035343244444444445
1,33,650,0.1244463469169674,0.03210350769230773,10.422829151186974,27.216359240959775,0.00034778800000000046
30,35,651,0.11733403631422855,0.03204976958525342,4.61827916769672,28.768985038560402,0.00034773999999999954
18,33,644,0.1250661768791467,0.03187217391304354,4.714184345030672,14.069043186133001,0.0003420946666666673
2,8,618,0.12591647907715992,0.032207982740021554,7.011661017814038,13.29487939037044,0.000331742222222222
3,36,601,0.1320530842758901,0.03217033832501386,5.875556568240809,32.505145456092066,0.00032223955555555554
10,11,545,0.1371933507562212,0.03193859327217126,8.65165359083966,20.082274643964837,0.0002901088888888889
5,21,529,0.04999506324401652,0.03187861373660995,11.26799876488456,9.702747396516997,0.0002810631111111111
10,18,506,0.12083892702395027,0.03196753623188408,16.940859136431328,17.43294800219264,0.000269592888888889
19,31,489,0.04900464972924855,0.03186568507157465,9.92564240938734,6.356422863689204,0.00025970533333333337
15,17,466,0.029429596918353073,0.03213505007153075,7.814654232647791,6.306988380963219,0.00024958222222222216
4,7,465,0.03931241536500268,0.032019383512544804,4.883816609441189,12.736986582723375,0.0002481502222222222
29,33,457,0.1038212927347345,0.03197975200583517,12.254944661466892,13.088991155150609,0.00024357911111111123
19,37,440,0.1566072332822829,0.03222272727272729,6.312151312931399,17.721092944142924,0.0002363000000000001
3,5,423,0.06914541196571164,0.03216939322301028,11.081868661243206,16.500696770869183,0.00022679422222222247
12,39,421,0.07209237480533652,0.032098875692794904,11.740588784776927,10.922438605525997,0.00022522711111111092
2,4,420,0.01943973939560975,0.03205403174603172,7.454583682747575,5.327747955170992,0.00022437822222222203
17,31,394,0.030079092544809494,0.03195783417935702,13.483938454189893,8.945443219381843,0.0002098564444444444
16,31,385,0.0,0.03187851082251081,12.619850474190926,0.0,0.00020455377777777768
11,15,358,0.046810327817477244,0.03195314711359401,11.176234577631728,9.926784586447468,0.00019065377777777759
16,17,342,0.0,0.03216686159844053,19.617461919401865,0.0,0.00018335111111111103
8,21,332,0.033653719889719075,0.03189694779116464,10.943721837083118,4.540175250737022,0.00017649644444444435
24,38,314,0.06672254182546838,0.032059108280254774,13.919865290092153,10.78660804004783,0.000167776
13,15,309,0.03249456168482662,0.03225527508090616,11.139900253406372,7.216728368845793,0.0001661146666666667
13,33,310,0.041528401384658124,0.0319225806451613,12.767313209729881,10.086041156601055,0.00016493333333333338
8,19,307,0.027470399725273997,0.03217024972855591,11.25411763879125,8.433412715659117,0.00016460444444444438
0,9,295,0.03806643005666511,0.03197161581920903,15.962342424413391,11.229596866716207,0.00015719377777777775
3,19,276,0.03603124540692905,0.03185748792270531,16.26791454584758,8.176533986876677,0.00014654444444444446
33,38,270,0.12542344745042877,0.03217876543209877,11.941876778010807,13.372174674369575,0.00014480444444444447
11,38,243,0.024769150482855645,0.03185953360768175,13.514909004965434,3.1004848292290887,0.00012903111111111108
3,20,230,0.022884124077309123,0.03206052173913042,13.199226129940875,3.9904231370861964,0.0001228986666666666
26,29,218,0.0,0.03197810397553517,17.21133777574202,0.0,0.00011618711111111112
29,32,203,0.0,0.03182975369458127,18.270502187526578,0.0,0.00010769066666666663
34,38,177,0.0,0.032036308851224105,17.913024095536414,0.0,9.450711111111111e-05
34,39,176,0.0,0.03196893939393938,13.54829069400468,0.0,9.377555555555553e-05
22,36,159,0.0,0.03234348008385742,14.091772927003117,0.0,8.571022222222215e-05
7,12,160,0.0,0.032104833333333346,13.326072580838192,0.0,8.56128888888889e-05
7,9,151,0.0,0.03217483443708607,18.5090199174714,0.0,8.097333333333327e-05
13,17,135,0.0,0.0318160987654321,17.684108780471814,0.0,7.158622222222222e-05
15,33,128,0.05340713684881537,0.03195166666666667,16.694085868743393,6.836113516648368,6.816355555555556e-05
1,19,120,0.0,0.032223111111111105,16.347249717536805,0.0,6.44462222222222e-05
2,32,116,0.0,0.03184344827586206,10.011373505887635,0.0,6.156399999999998e-05
17,30,102,0.004656798140477942,0.031840522875816984,12.891012568937349,0.4749934103287501,5.4128888888888874e-05
15,39,98,0.0,0.03187346938775509,8.830031087905613,0.0,5.205999999999999e-05
11,36,98,0.0,0.03184870748299321,17.248704434585687,0.0,5.2019555555555584e-05
12,15,76,0.0,0.03267473684210527,15.351877052513414,0.0,4.138800000000001e-05
26,37,69,0.0,0.03186125603864734,19.009067080609633,0.0,3.6640444444444445e-05
21,37,64,0.0,0.03159416666666667,19.420904918878787,0.0,3.370044444444445e-05
13,18,64,0.0,0.03132666666666666,8.502753062254836,0.0,3.34151111111111e-05
3,24,59,0.0,0.03156700564971752,19.80128265827393,0.0,3.104088888888889e-05
24,27,42,0.0,0.03237587301587302,17.733386470691087,0.0,2.2663111111111112e-05
32,37,31,0.0,0.03238709677419355,18.702302325401444,0.0,1.673333333333333e-05
11,13,24,0.0,0.03206333333333333,17.84597877165491,0.0,1.2825333333333336e-05
0,4,0,0.0,0.0,0.0,0.0,0.0
0,7,0,0.0,0.0,0.0,0.0,0.0
0,22,0,0.0,0.0,0.0,0.0,0.0
0,35,0,0.0,0.0,0.0,0.0,0.0
3,15,0,0.0,0.0,0.0,0.0,0.0
4,12,0,0.0,0.0,0.0,0.0,0.0
17,39,0,0.0,0.0,0.0,0.0,0.0
